"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","4,638","4,650","4,738","4,638","75.89M","0.54%"
"10/04/2022","4,613","4,650","4,688","4,613","90.25M","-0.54%"
"10/03/2022","4,638","4,663","4,688","4,613","54.66M","-1.59%"
"09/30/2022","4,713","4,650","4,713","4,613","113.50M","1.89%"
"09/29/2022","4,625","4,675","4,688","4,600","67.95M","-0.54%"
"09/28/2022","4,650","4,725","4,800","4,638","133.09M","-0.53%"
"09/27/2022","4,675","4,625","4,675","4,600","130.96M","1.08%"
"09/26/2022","4,625","4,563","4,688","4,475","133.77M","0.54%"
"09/23/2022","4,600","4,600","4,625","4,575","61.88M","0.00%"
"09/22/2022","4,600","4,638","4,650","4,588","96.48M","-0.81%"
"09/21/2022","4,638","4,575","4,638","4,550","71.04M","0.82%"
"09/20/2022","4,600","4,663","4,688","4,600","140.75M","-0.27%"
"09/19/2022","4,613","4,625","4,650","4,575","137.40M","1.37%"
"09/16/2022","4,550","4,638","4,650","4,513","167.81M","-2.67%"
"09/15/2022","4,675","4,700","4,750","4,650","156.75M","0.54%"
"09/14/2022","4,650","4,638","4,700","4,600","119.63M","-1.59%"
"09/13/2022","4,725","4,625","4,750","4,613","185.49M","3.00%"
"09/12/2022","4,588","4,575","4,600","4,538","110.82M","1.10%"
"09/09/2022","4,538","4,538","4,550","4,475","128.51M","1.40%"
"09/08/2022","4,475","4,450","4,550","4,413","96.93M","0.85%"
"09/07/2022","4,438","4,388","4,438","4,363","87.44M","0.57%"
"09/06/2022","4,413","4,488","4,500","4,400","65.35M","-1.40%"
"09/05/2022","4,475","4,425","4,500","4,400","60.49M","1.13%"
"09/02/2022","4,425","4,488","4,500","4,363","83.17M","-0.84%"
"09/01/2022","4,463","4,425","4,475","4,338","120.97M","0.85%"
"08/31/2022","4,425","4,250","4,425","4,225","151.63M","2.31%"
"08/30/2022","4,325","4,313","4,375","4,288","97.63M","1.17%"
"08/29/2022","4,275","4,200","4,300","4,175","73.77M","0.59%"
"08/26/2022","4,250","4,313","4,325","4,250","82.36M","-0.87%"
"08/25/2022","4,288","4,275","4,313","4,213","77.25M","-0.58%"
"08/24/2022","4,313","4,300","4,350","4,275","60.96M","0.00%"
"08/23/2022","4,313","4,250","4,338","4,225","95.55M","1.17%"
"08/22/2022","4,263","4,213","4,275","4,175","121.40M","0.29%"
"08/19/2022","4,250","4,300","4,325","4,250","48.29M","-1.16%"
"08/18/2022","4,300","4,388","4,400","4,288","116.69M","0.88%"
"08/16/2022","4,263","4,275","4,325","4,238","109.26M","0.89%"
"08/15/2022","4,225","4,225","4,275","4,200","44.46M","-0.29%"
"08/12/2022","4,238","4,263","4,288","4,213","63.55M","-0.59%"
"08/11/2022","4,263","4,313","4,338","4,213","106.63M","-0.87%"
"08/10/2022","4,300","4,175","4,300","4,125","79.95M","1.47%"
"08/09/2022","4,238","4,213","4,300","4,200","117.15M","1.50%"
"08/08/2022","4,175","4,125","4,175","4,113","82.52M","1.21%"
"08/05/2022","4,125","4,138","4,150","4,088","64.15M","0.00%"
"08/04/2022","4,125","4,150","4,150","4,075","59.80M","0.00%"
"08/03/2022","4,125","4,088","4,125","4,025","55.82M","0.92%"
"08/02/2022","4,088","4,000","4,088","3,988","57.46M","2.51%"
"08/01/2022","3,988","4,100","4,113","3,988","95.91M","-3.63%"
"07/29/2022","4,138","4,113","4,175","4,075","132.71M","2.80%"
"07/28/2022","4,025","4,013","4,100","4,013","94.43M","-0.62%"
"07/27/2022","4,050","4,025","4,063","4,000","87.44M","1.25%"
"07/26/2022","4,000","3,913","4,013","3,900","58.32M","2.89%"
"07/25/2022","3,888","3,938","3,950","3,888","30.75M","-0.96%"
"07/22/2022","3,925","3,963","3,963","3,888","54.46M","-0.63%"
"07/21/2022","3,950","4,000","4,000","3,863","125.70M","0.00%"
"07/20/2022","3,950","3,775","3,975","3,775","215.71M","6.40%"
"07/19/2022","3,713","3,675","3,725","3,638","128.96M","1.02%"
